"id","first_option","first_link","second_option","second_link","probability"
"start1","Paddenstoel aan de onderzijde met buisjes (poriën)","boleten1","Paddenstoel aan de onderzijde met lamellen of duidelijke aders, of onderzijde vrijwel glad","start2","1"
"start2","Paddenstoel ongesteeld of met korte zijdelings aangehechte steel","schelpzwammen1","Paddenstoel centraal gesteeld of iets excentrisch gesteeld","start3","1"
"start3","Paddenstoel aan de onderzijde met ± duidelijke aders of plooien, of onderzijde glad","start4","Paddenstoel aan de onderzijde met echte lamellen","start7","1"
"start4","Paddenstoel groeiend op oude (zwart geworden, rottende) vruchtlichamen van russula's en melkzwammen. Hoedoppervlak bepoederd","Asterophora lycoperdoides","Paddenstoel niet groeiend op oude vruchtlichamen van russula's en melkzwammen. Hoedoppervlak niet bepoederd","start5","1"
"start5","Paddenstoel klein en teer, hoed zuiver wit (maar steel kan gekleurd zijn)","start6","Paddenstoel groter en vleziger, en niet zuiver wit","cantharellen1","1"
"start6","Steel wit. Op de grond of begraven hout","Delicatula integrella","Steel donkerbruin in onderste helft. Op bladeren van eik of klimop","taailingen1","1"
"start7","Paddenstoel met opvallend bros vlees (steel breekt als een krijtje)","start8","Paddenstoel zonder opvallend bros vlees","start9","1"
"start8","Vruchtlichaam bij kneuzen met melksap. Onderzijde met doorlopende lamellen en tussenlamellen","melkzwammen1","Vruchtlichaam bij kneuzen zonder melksap. Onderzijde meestal met alleen doorlopende lamellen. (Indien met tussenlamellen, dan hoedhuid niet helder gekleurd en niet afstroopbaar.)","russulas1","1"
"start9","Geur zeer sterk, naar [[levertraan](Zuivere levertraan is een kleurloze of lichtgele olie, met een enigszins visachtige maar niet ranzige smaak en geur.)](https://nl.wikipedia.org/wiki/Levertraan). Steel fluwelig-harig ![Levertraancapsules die ik zo even nam van het internet](https://upload.wikimedia.org/wikipedia/commons/a/ad/Codliveroil.jpg) ![Ik heb er zo zelfs 2](https://upload.wikimedia.org/wikipedia/commons/a/ad/Codliveroil.jpg)","Macrocystidia cucumis","Geur niet naar levertraan","start10","1"
"start10","Sporee wit, wittig, licht geel, geel, zeer bleek roze of lila","start11","Sporee duidelijk gekleurd: groen, rood, oudroze, grijsroze, zalmkleurig, geelbruin, bruin, purperbruin tot zwart","start59","1"
"start11","Steelbasis met volvaresten (zakvormige volva of velumgordels of grofwrattige velumresten). Steel vaak met ring. Lamellen vrij","amanieten1","Steelbasis zonder velumresten. Steel al dan niet met ring","start12","1"
"start12","Steel met ring of duidelijke ringzone","start13","Steel zonder ring of ringzone [in twijfelgevallen beide coupletten proberen]","start18","1"
"start13","Lamellen vrij","parasolzwammen1","Lamellen smal tot breed aangehecht of op de steel aflopend","start14","1"
"start14","Hoed en steel korrelig-schubbig. Steel met duidelijke velumresten (maar zonder duidelijke ring)","start15","Niet met deze combinatie van kenmerken","start16","1"
"start15","Lamellen bij volwassen exemplaren gelig","Cystoderma jasonis","Lamellen bij volwassen exemplaren wit","Cystoderma amianthinum","1"
"start16","Hoed zeer slijmerig, jong grijs, maar snel wit wordend. Op beukenhout, op levende beuken of uit de kroon gevallen takken","Oudemansiella mucida","Hoed niet zeer slijmerig, niet wit","start17","1"
"start17","In bundels op hout, vaak met zwarte veter-achtige strengen in het substraat. Hoed gelig bruin","honingzwammen1","Op de grond, zonder zwarte strengen. Hoed grijs. Bij wilg","Tricholoma cingulatum","1"
"start18","Lamellen vrij","start19","Lamellen smal tot breed aangehecht tot aflopend","start20","1"
"start19","Lamellen dik en tamelijk wijd uiteen. Hoed glad, vettig, geel, oranje of rood, met spitse hoed","wasplaten1","Lamellen dun en (zeer) dicht opeen. Hoed met andere kleuren","parasolzwammen1","1"
"start20","Hoed en steel korrelig-schubbig. Steel met duidelijke velumresten","start15","Niet met deze combinatie van kenmerken","start21","1"
"start21","Paddenstoel groeiend op zwart geworden of verrotte vruchtlichamen van russula's en melkzwammen","Asterophora parasitica","Niet met deze kenmerken","start22","1"
"start22","Steelbasis met opvallende witte myceliumstrengen. Lamellen wijd uiteen. Op (begraven) hout (en daardoor schijnbaar op de grond tussen strooisel)","Megacollybia platyphylla","Steelbasis zonder witte strengen","start23","1"
"start23","Steel wortelend of met spoelvormig verlengde basis. Lamellen wijd uiteen","start24","Steel niet wortelend","start25","1"
"start24","Paddenstoel in bundels aan de voet van eiken. Hoed droog, aan de rand niet gerimpeld","Gymnopus fusipes","Paddenstoel solitair, op wortels van beuk. Hoed slijmerig, meestal gerimpeld","Xerula radicata","1"
"start25","Lamellen (opvallend) dik, wijd uiteen","start26","Lamellen dun, dicht opeen tot wijd uiteen","start27","1"
"start26","Lamellen roze tot paars, bij rijpheid wit bepoederd-overstoven door sporen","fopzwammen1","Lamellen met andere kleur, bij rijpheid niet bepoederd-overstoven","wasplaten1","1"
"start27","Paddenstoel op (soms begraven) kegels van naaldbomen groeiend","start28","Paddenstoel op andere substraten groeiend","start30","1"
"start28","Steel behaard. Lamellen zeer dicht opeen","Baeospora myosura","Steel (vrijwel) kaal. Lamellen niet opvallend dicht opeen","start29","1"
